City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Aanekoski,FI,62.6946,25.818,50.68,94,86,4.09,overcast clouds
320,Kataysk,RU,56.289,62.5841,58.95,56,100,11.92,overcast clouds
321,Mbalmayo,CM,3.5167,11.5,69.89,98,81,5.12,light rain
322,Naze,JP,28.3667,129.4833,77.92,87,100,42.14,light rain
323,Nanortalik,GL,60.1432,-45.2371,45.81,86,100,4.85,light rain
324,Tukrah,LY,32.5341,20.5791,78.53,62,0,4.23,clear sky
325,Antalaha,MG,-14.9003,50.2788,68.22,85,2,7.96,light rain
326,Miraflores,MX,19.2167,-98.8083,66.96,72,83,1.28,broken clouds
327,Urumqi,CN,43.801,87.6005,59.95,34,0,4.47,clear sky
328,Itarema,BR,-2.9248,-39.9167,86.23,59,71,18.72,broken clouds
329,Muros,ES,42.7762,-9.0603,77.16,63,100,4.7,overcast clouds
330,Cherskiy,RU,68.75,161.3,31.15,75,100,13.2,overcast clouds
331,Klaksvik,FO,62.2266,-6.589,50.92,74,100,4.97,overcast clouds
332,Umm Lajj,SA,25.0213,37.2685,86.38,57,1,9.26,clear sky
333,Inhambane,MZ,-23.865,35.3833,73.38,94,20,14.0,few clouds
334,Rio Gallegos,AR,-51.6226,-69.2181,48.25,34,20,26.46,few clouds
335,Padang,ID,-0.9492,100.3543,76.26,90,100,3.53,light rain
336,Clyde River,CA,70.4692,-68.5914,34.03,100,100,16.11,light intensity drizzle
337,Asau,RO,46.4333,26.4,56.32,97,100,2.86,overcast clouds
338,Richards Bay,ZA,-28.783,32.0377,68.09,81,24,6.6,few clouds
339,Huarmey,PE,-10.0681,-78.1522,69.55,72,9,13.51,clear sky
340,Baykit,RU,61.67,96.37,42.13,76,80,1.52,light rain
341,Belaya Gora,RU,68.5333,146.4167,33.37,68,55,5.66,broken clouds
342,Ancud,CL,-41.8697,-73.8203,48.22,48,9,4.21,clear sky
343,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,96.06,40,55,1.5,broken clouds
